x,y,z
3.821739930402978658e-01,5.427223774563944225e+00,1.910623367156931263e+00
3.192256446329875264e-01,-2.721371305222050729e+00,2.971720697473907880e+00
3.817281092519448915e-01,4.914515357278760987e+00,2.260219958999360124e+00
1.560429305915183473e+00,4.428156990909248414e+00,2.715052705034574299e+00
-6.904991777102330586e-01,7.197783063173276652e+00,8.741411449240295894e+00
-6.577853988844923894e-01,7.139936220777890696e+00,9.011332954434937648e+00
7.015166263041533457e-01,4.559023366530180255e+00,2.038484811351009895e+00
9.963334356516722057e-01,4.712127674061462379e+00,1.117169507372912651e+00
1.941815736500697609e+00,-1.745356078690792900e+00,3.724254913084081853e+00
1.861863978035858125e+00,4.691855385731661165e+00,1.836666934272290774e+00
1.146003645923471481e+00,-8.085108248362489203e-01,4.047894576082308404e+00
-1.402854030378215988e+00,7.865682445355278496e+00,8.445128684990637069e+00
-6.427090561974164729e-01,8.263493757953316532e+00,8.836420578723542363e+00
-7.445458999216015838e-01,8.578872603045455847e+00,8.202372877969555276e+00
1.326197952165741878e+00,-1.563040005396987286e-01,3.856343809170297288e+00
-1.539661478427306829e+00,7.804441673384856060e+00,9.613489033241107151e+00
1.113920020206348616e+00,-1.282015141643946698e+00,1.753452855720174730e+00
3.407681491958091113e-01,-6.324708630464913606e-01,3.035181862498319560e+00
1.897287556018004695e+00,4.643651350265980859e+00,2.144826576460278300e+00
-9.544760152944586906e-02,7.559591701424156263e+00,8.619834548878316127e+00
8.407062851316376983e-01,3.311044867541053982e+00,1.671433938805555242e+00
-1.725967278244999070e+00,6.995135255231855531e+00,9.162644864035968340e+00
2.082484996563270130e+00,5.219091670645928716e+00,1.187946172462562178e+00
6.126625757118402404e-01,8.350712507436744758e+00,8.580389893576414906e+00
-2.054149812928880880e+00,8.690763691609241448e+00,9.410404416634328584e+00
6.362515062873206340e-01,4.158497618902828208e+00,2.963902291667285027e+00
1.624757226379762276e+00,4.594374619920788660e+00,2.402751808656915067e+00
1.412606331150790817e+00,-1.470303439236190002e+00,2.026339946144449122e+00
-6.075556295833408615e-01,7.998417460121571843e+00,9.644836269802794959e+00
4.872281087283338308e-01,-7.695107014976713122e-01,1.714548306755050877e+00
7.918511923172903977e-01,4.083872962876526458e+00,2.727094698746253876e+00
1.072665202755368252e+00,3.788396135070364767e+00,1.931414956037590613e+00
-1.405259014941559581e+00,7.727832199911634170e+00,8.857592864075545691e+00
4.067310831407219274e-01,-1.477278051743158294e+00,2.143247188124936642e+00
-1.194188100155865628e+00,7.236919492338768300e+00,8.793232281383730253e+00
2.257383489121078668e-01,4.858937778498588322e+00,1.512395826531696352e+00
9.258063368495916823e-01,-2.146249835260450212e+00,3.159793670266096477e+00
3.293032769966407480e-01,5.141070689632028845e+00,3.127757948770679697e+00
7.721864895191614675e-01,-1.164160647123855252e+00,1.872047322779333500e+00
-6.097059649820411042e-01,8.526257916406374093e+00,8.809780585805492947e+00
2.050971155272444335e+00,4.406387590347867089e+00,1.019864710480459458e+00
1.288389267443348807e+00,-2.205201882923242707e+00,2.451474267875851876e+00
-8.298320802654814976e-01,6.793002473042387912e+00,9.342768628756431326e+00
-2.082971643930092931e+00,7.857215860657748685e+00,8.784611873205687260e+00
1.259559477056446664e+00,4.795737703279564279e+00,2.599779291696981076e+00
7.764356376817003191e-01,4.332206217822569982e+00,2.932911789901920585e+00
5.712569796090536389e-01,4.224116773776366962e+00,2.427148159426566476e+00
-9.921181625438115770e-01,7.827750380605553282e+00,9.061906226466971859e+00
1.764565085948792023e+00,-1.411187495296184702e+00,2.665363369079750022e+00
1.678081422839406533e+00,-9.759823173903520166e-01,2.822601978388298516e+00
-2.426868968080435618e-01,-2.209451531440588035e+00,1.860658930309766257e+00
1.141389067892287112e+00,3.727334560408117170e+00,2.281423706430047549e+00
-1.626040920199557815e+00,7.552104973136762212e+00,8.365238587670532411e+00
1.400295519024893576e+00,-2.420970860640920375e+00,2.275753259434700748e+00
-7.000322902960082194e-01,7.431789144978414363e+00,9.353249908519256195e+00
6.984454220585140094e-01,-1.704564254964031633e+00,1.586865807394774786e+00
7.875619325366430834e-01,-1.291519179828380715e+00,3.062863145266087272e+00
1.152311135234925565e+00,-8.733185861591371557e-01,2.687370852734249027e+00
1.202566445211439738e+00,4.261452989938215197e+00,2.417763345702702793e+00
3.247897212611182693e-01,4.687628924409674269e+00,1.823749519567022359e+00
-1.477747502794832801e+00,8.250457166663489161e+00,9.485586216905716128e+00
-1.283431371845608515e+00,8.589402855814576299e+00,9.451303527858296860e+00
-5.836809679011916163e-01,7.941203267031269775e+00,8.709043084691362679e+00
1.125388455004309618e+00,4.285040126194019194e+00,1.971583143939074745e+00
1.008277022758016672e+00,4.922276896050108874e+00,1.289074129217389730e+00
5.010011208484270728e-01,-2.235018622597455540e+00,3.036467844220808399e+00
5.486598616855038468e-01,-1.849604385080899860e+00,1.984268054715938367e+00
-1.317195087162829736e+00,8.881283247683189330e+00,9.080127695490393336e+00
1.540208267025297229e+00,4.667620727893461385e+00,2.056324025861440585e+00
-6.831551718414780039e-01,7.666178930679242498e+00,8.687862410617164244e+00
-1.547099636310845572e+00,7.617725347323363927e+00,9.431631395394061812e+00
-1.189343760245000325e+00,8.378753987555301208e+00,9.884500072160694373e+00
9.600252073049497792e-01,-2.024646725203902431e+00,3.213537896182601106e+00
